COMPOUND_ID	SOURCES	SYNONYMS	MW_FREEBASE	ALOGP	HBA	HBD	PSA	RTB	RO3_PASS	NUM_RO5_VIOLATIONS	MED_CHEM_FRIENDLY	PCT_IHB_3D7	PCT_INHB_DD2	PCT_INHIB_3D7_PFLDH	pXC50_3D7	PCT_INHIB_HEPG2	IFI	SMILES
539330	TCMDC-133766, 639330 (CHEMBL)		451.30474	5.314	5	2	90.79	6	N	1	Y	86	45	0	6.06119	29	1.61	CC(=O)c1cccc(c1)Nc2[nH]c3c(n2)ccc(c3C#N)OCc4cc(cc(c4)Cl)Cl
539362	TCMDC-136714, 639362 (CHEMBL)		370.44368	4.64	3	0	36.28	8	N	0	Y	86	45	0	6.02345	9	2.91	c1ccc(cc1)COc2ccc(cc2)COc3ccc(cc3)Cn4ccnc4
539402	TCMDC-123854, 639402 (CHEMBL), COMMERCIAL		511.32024	5.297	10	4	153.17	8	N	3	Y	100	72	0	6.17323	29	4.83	c1ccc(cc1)Nc2nc(nc(n2)NN=Cc3cc(cc(c3O)Cl)Cl)Nc4ccc(cc4)N(=O)=O
538808	TCMDC-133807, 638808 (CHEMBL)		399.40384	.732	8	3	164.27	8	N	0	Y	93	97	0	5.86602	0	15.38	CCn1c2c(cnc(c2nc1c3c(non3)N)c4ccc(o4)CO)OCCCN.C(=O)(C(F)(F)F)O
538846	TCMDC-133396, 638846 (CHEMBL)		336.38924	3.559	3	2	67.59	2	N	0	Y	100	100	0	6.26564	42	9.09	c1cc2c(cc1c3ccncc3)c(ncc2c4ccc5c(c4)cc[nH]5)N
541984	TCMDC-139971, 641984 (CHEMBL)		624.83042	4.768	7	2	138.31	7	N	1	Y	93	74	1	5.99504	0	2.26	C[C@@H]1CC[C@@]23CCC(=O)[C@H]2[C@@]1([C@@H](C[C@@]([C@H]([C@@H]3C)O)(C)C=C)OC(=O)NC(=O)C4CCN(CC4)C(=O)CSc5ccccc5)C
538889	TCMDC-134302, 638889 (CHEMBL)		402.40963	2.833	4	1	76.7	4	N	0	Y	92	63	4	5.9719	7	0	Cc1c(nc(s1)N2CCN(CC2)C)C(=O)Nc3ccc(cc3C(F)(F)F)F.C(=O)(C(F)(F)F)O
538926	TCMDC-136482, 638926 (CHEMBL)		486.62839	4.115	5	1	73.92	6	N	0	Y	97	74	0	6.11693	21	9.3	CN1CCCN(CC1)Cc2cccc(c2)c3cccc(c3)NS(=O)(=O)c4cccc5c4nccc5.C(=O)(C(F)(F)F)O
538929	TCMDC-133973, 638929 (CHEMBL)		406.96927	4.616	3	1	69.81	7	N	0	Y	89	81	0	5.98248	19	4.92	CC(C)CCN1CCC(CC1)Oc2ccc(cc2Cl)NC(=O)c3ccsc3.C(=O)(C(F)(F)F)O
538968	TCMDC-132090, 638968 (CHEMBL)		433.49958	4.862	5	1	87.38	9	N	0	Y	98	9	1	6.09553	20	2.34	CN(C)CCCc1cc(ccc1OC)C(=O)Nc2ccc(cc2)c3ccc(cc3)N(=O)=O.Cl
543105	TCMDC-139993, 643105 (CHEMBL)		586.57561	5.889	5	1	106.67	11	N	2	N	96	58	4	6.7314	44	9.42	CN(C1CCN(CC1)CCCCCNC(=O)/C=C/c2ccc(c(c2)Cl)Cl)C(=O)c3c(nns3)c4ccccc4
